"r","Sd","ESS","sample_size","method","Period","avg_accuracy","avg_precision","avg_agreementindex","prop_agrementindex_over_60","avg_accuracy_agreementindex_over_60"
0.03,20,10,40,"OLE_resamp_unif","Holocene",0.996910401647786,1075.52796349243,NA,NA,NA
0.03,20,10,40,"OLE_resamp_unif","Pleistocene",1,1906.2827875976,NA,NA,NA
0.03,20,10,80,"OLE_medians","Holocene",0.84346035015448,715.956153531709,NA,NA,NA
0.03,20,10,80,"OLE_medians","Pleistocene",0.981,1191.53435019137,NA,NA,NA
0.03,20,10,80,"OLE_resamp_caldate","Holocene",0.994850669412976,754.166421602692,NA,NA,NA
0.03,20,10,80,"OLE_resamp_caldate","Pleistocene",1,1493.42581774618,NA,NA,NA
0.03,20,10,80,"OLE_resamp_norm","Holocene",0.997940267765191,917.257123123935,NA,NA,NA
0.03,20,10,80,"OLE_resamp_norm","Pleistocene",1,2004.42204411198,NA,NA,NA
0.03,20,10,80,"OLE_resamp_unif","Holocene",0.994850669412976,873.400149319662,NA,NA,NA
0.03,20,10,80,"OLE_resamp_unif","Pleistocene",0.948,1571.00694407116,NA,NA,NA
0.03,20,40,40,"CRIWM","Holocene",0.696,141.534,NA,NA,NA
0.03,20,40,40,"CRIWM","Pleistocene",0.62,370.082,NA,NA,NA
0.03,20,40,40,"OLE_medians","Holocene",0.748712667353244,1205.52080835096,NA,NA,NA
0.03,20,40,40,"OLE_medians","Pleistocene",0.897,1602.88471285316,NA,NA,NA
0.03,20,40,40,"OLE_resamp_caldate","Holocene",0.905252317198764,1288.04787316425,NA,NA,NA
0.03,20,40,40,"OLE_resamp_caldate","Pleistocene",0.992,1881.40356951972,NA,NA,NA
0.03,20,40,40,"OLE_resamp_norm","Holocene",0.953656024716787,1361.31543526519,NA,NA,NA
0.03,20,40,40,"OLE_resamp_norm","Pleistocene",1,2193.25383373819,NA,NA,NA
0.03,20,40,40,"OLE_resamp_unif","Holocene",0.953656024716787,1385.53798986854,NA,NA,NA
